team_a,team_b,latitude_a,longitude_a,latitude_b,longitude_b,travel_distance,travel_duration
southampton-fc,bolton-wanderers,50.9291132,-1.47131,53.5813723,-2.5369749,387111.0,14592.0
southampton-fc,bradford-city,50.9291132,-1.47131,53.795984,-1.759398,405292.0,16152.0
southampton-fc,birmingham-city,50.9291132,-1.47131,52.48624299999999,-1.890401,230264.0,8649.0
southampton-fc,west-bromwich-albion,50.9291132,-1.47131,52.517664,-1.995159,238838.0,9309.0
southampton-fc,fulham-fc,50.9291132,-1.47131,51.4744751,-0.220554,125348.0,5407.0
southampton-fc,portsmouth-fc,50.9291132,-1.47131,50.7963372,-1.0637899,43900.0,2183.0
southampton-fc,wolverhampton-wanderers,50.9291132,-1.47131,52.5683233,-2.1270034,245481.0,10182.0
southampton-fc,wigan-athletic,50.9291132,-1.47131,53.54703379999999,-2.6545208,369328.0,14037.0
southampton-fc,reading-fc,50.9291132,-1.47131,51.42239319999999,-0.9826326000000001,74817.0,3554.0
southampton-fc,watford-fc,50.9291132,-1.47131,51.6502945,-0.4025551,130227.0,5397.0
southampton-fc,stoke-city,50.9291132,-1.47131,53.002668,-2.179404,296842.0,10909.0
southampton-fc,hull-city,50.9291132,-1.47131,53.7456709,-0.3367413,388796.0,16197.0
southampton-fc,burnley-fc,50.9291132,-1.47131,53.7890244,-2.2301736,423545.0,15992.0
southampton-fc,blackpool-fc,50.9291132,-1.47131,53.8048707,-3.0481407,426844.0,15935.0
southampton-fc,swansea-city,50.9291132,-1.47131,51.62144,-3.943645999999999,280584.0,10828.0
southampton-fc,cardiff-city,50.9291132,-1.47131,51.48158100000001,-3.17909,223465.0,8675.0
southampton-fc,afc-bournemouth,50.9291132,-1.47131,50.73523059999999,-1.8382791,43150.0,1901.0
southampton-fc,huddersfield-town,50.9291132,-1.47131,53.645792,-1.7850351,377681.0,15789.0
southampton-fc,manchester-city,50.9291132,-1.47131,53.4807593,-2.2426305,363492.0,14348.0
southampton-fc,barnsley-fc,50.9291132,-1.47131,53.551742,-1.468189,352948.0,13924.0
tottenham-hotspur,liverpool-fc,51.6032123,-0.0657389,53.4302084,-2.9621378,339311.0,14160.0
tottenham-hotspur,southampton-fc,51.6032123,-0.0657389,50.9291132,-1.47131,150240.0,6976.0
tottenham-hotspur,coventry-city,51.6032123,-0.0657389,52.406822,-1.519693,153828.0,6945.0
tottenham-hotspur,queens-park-rangers,51.6032123,-0.0657389,51.5092767,-0.2321123,28030.0,2693.0
tottenham-hotspur,manchester-united,51.6032123,-0.0657389,53.4636889,-2.2914568,324253.0,13398.0
